"name","average_speed"
"Romain Bardet","42.25"
"Louis Meintjes","42.25"
"Ruben Almeida Guerreiro","41.74"
"David De La Cruz","41.73"
"Luis Leon Sanchez","41.53"
"Jonas Vingegaard","41.42"
"Steff Cras","41.38"
"Tadej Pogačar","41.35"
"Adam Yates","41.33"
"Simon Yates","41.31"
"Carlos Rodriguez Cano","41.31"
"Pello Bilbao Lopez","41.31"
"Jai Hindley","41.29"
"Felix Gall","41.28"
"David Gaudu","41.23"
"Guillaume Martin","41.20"
"Thibaut Pinot","41.19"
"Antonio Pedrero","41.16"
"Sepp Kuss","41.11"
"James Shaw","41.10"
"Thomas Pidcock","41.02"
"Jhoan Esteban Chaves","40.98"
"Rafal Majka","40.95"
"Jonathan Castroviejo","40.95"
"Chris Harper","40.94"
"Ben O'Connor","40.88"
"Wilco Kelderman","40.87"
"Mikel Landa","40.82"
"Valentin Madouas","40.81"
"Emanuel Buchmann","40.79"
"Warren Barguil","40.78"
"Daniel Felipe Martinez Poveda","40.70"
"Felix Grossschartner","40.55"
"Tiesj Benoot","40.54"
"Ben Turner","40.52"
"Clément Berthet","40.51"
"Bob Jungels","40.45"
"Jacopo Guarnieri","40.40"
"Wout Poels","40.39"
"Jack Haig","40.35"
"Skjelmose Mattias Jensen","40.31"
"Tobias Halland Johannessen","40.31"
"Matteo Jorgenson","40.28"
"Wout Van Aert","40.27"
"Mathieu Burgaudeau","40.27"
"Giulio Ciccone","40.24"
"Julian Alaphilippe","40.23"
"Harold Alfonso Tejada Canacue","40.22"
"Quinn Simmons","40.20"
"Dylan Teuns","40.16"
"Egan Bernal","40.13"
"Gorka Izagirre Insausti","40.13"
"Hugo Houle","40.10"
"Nicholas Schultz","40.09"
"Alexey Lutsenko","40.09"
"Kévin Geniets","40.09"
"Dylan Van Baarle","40.07"
"Gregaard Jonas Wilsly","40.06"
"Caleb Ewan","40.05"
"Gregor Mühlberger","40.04"
"Ion Izagirre Insausti","40.04"
"Christopher Hamilton","40.03"
"Georg Zimmermann","40.01"
"Michael Woods","40.00"
"Michal Kwiatkowski","39.99"
"Krists Neilands","39.99"
"Fabio Jakobsen","39.98"
"Clément Champoussin","39.98"
"Alex Aranburu Deba","39.94"
"Ramon Sinkeldam","39.94"
"Stefan Küng","39.90"
"Nelson Oliveira","39.90"
"Aurélien Paret Peintre","39.89"
"Marc Soler","39.88"
"Mathieu Van Der Poel","39.87"
"Matthew Dinham","39.86"
"Maxim Van Gils","39.82"
"Omar Fraile Matarranz","39.81"
"Kevin Vermaerke","39.77"
"Nils Politt","39.74"
"Quentin Pacher","39.70"
"Victor Campenaerts","39.69"
"Matis Louvel","39.68"
"Neilson Powless","39.67"
"Rui Costa","39.67"
"Anthony Delaplace","39.64"
"Simon Guglielmi","39.64"
"Lars Van Den Berg","39.60"
"Rigoberto Uran","39.57"
"Matej Mohoric","39.56"
"Nans Peters","39.55"
"Juan Pedro Lopez Perez","39.54"
"Pierre Latour","39.53"
"Oliver Naesen","39.52"
"Lilian Calmejane","39.49"
"Marco Haller","39.48"
"Jasper Stuyven","39.47"
"Victor Lafay","39.46"
"Christophe Laporte","39.45"
"Stan Dewulf","39.44"
"Patrick Konrad","39.44"
"Alberto Bettiol","39.43"
"G Lawson Craddock","39.40"
"Jonas Abrahamsen","39.39"
"Tony Gallopin","39.39"
"Kasper Asgreen","39.38"
"Daniel Oss","39.37"
"Valentin Ferron","39.35"
"Corbin Strong","39.34"
"Pascal Eenkhoorn","39.33"
"Fred Wright","39.32"
"Nathan Van Hooydonck","39.32"
"Anthony Turgis","39.31"
"Torstein Træen","39.30"
"Simon Geschke","39.28"
"Magnus Cort Nielsen","39.25"
"Richard Carapaz","39.25"
"Bryan Coquard","39.25"
"Jasper Philipsen","39.24"
"Anthon Charmig","39.23"
"Edvald Boasson-Hagen","39.21"
"Benoit Cosnefroy","39.20"
"Vegard Stake Laengen","39.19"
"Mike Teunissen","39.18"
"Yves Lampaert","39.18"
"Mads Pedersen","39.17"
"Rémi Cavagna","39.16"
"Anthony Perez","39.16"
"Matteo Trentin","39.16"
"Rasmus Tiller","39.15"
"Simon Clarke","39.12"
"Mark Cavendish","39.12"
"Andrey Amador","39.09"
"Dion Smith","39.09"
"Luka Mezgec","39.07"
"Quinten Hermans","39.05"
"Jonas Rickaert","39.04"
"Alex Kirsch","39.04"
"Danny Van Poppel","39.03"
"Juul Christopher Jensen","39.01"
"Tim Declercq","39.01"
"Dries Devenyns","39.00"
"Florian Vermeersch","39.00"
"Nikias Arndt","38.98"
"Søren Kragh Andersen","38.98"
"Mikkel Bjerg","38.98"
"Laurent Pichon","38.97"
"Biniam Girmay","38.97"
"Guillaume Boivin","38.96"
"Alexis Renard","38.95"
"Peter Sagan","38.94"
"Jenthe Biermans","38.94"
"Silvan Dillier","38.93"
"Luke Durbridge","38.92"
"Olivier Le Gac","38.92"
"Luca Mozzato","38.92"
"Michael Gogl","38.90"
"Phil Bauhaus","38.87"
"Alexander Kristoff","38.87"
"Gianni Moscon","38.87"
"Jasper De Buyst","38.84"
"Dylan Groenewegen","38.84"
"Nils Eekhoff","38.80"
"Jordi Meeus","38.79"
"Søren Wærenskjold","38.79"
"Elmar Reinders","38.78"
"Axel Zingle","38.75"
"Adrien Petit","38.73"
"Sam Welsford","38.73"
"John Degenkolb","38.72"
"Alexander Edmondson","38.71"
"Frederik Frison","38.64"
"Yevgeniy Fedorov","38.63"
"Cees Bol","38.62"
"Michael Mørkøv","38.55"
